archive,fold,field,run_00z,phase,class,detail
ICON,fold_1,u10,2019-03-09,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-10,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-11,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-12,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-13,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-14,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-15,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-16,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-17,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-18,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
