model,stage,n_obs,mae_p50,mean_pinball,crossing_violations,coverage_50,coverage_80,coverage_95
base,raw,10747,41.75983235890547,13.015841509664993,10158,0.22573741509258397,0.4322136410160975,0.6705127012189448
base,post_cqr,10747,41.75983235890547,11.458252421472656,4412,0.3641946589745976,0.6279892062901274,0.8416302223876431
base,final,10747,41.743481556831235,11.44473658007408,0,0.36447380664371454,0.6280822555131664,0.8451660928631246
base_plus_residual_load_proxy,raw,10747,41.17314129722928,13.064197422052182,10563,0.20042802642597934,0.40560156322694707,0.6568344654322137
base_plus_residual_load_proxy,post_cqr,10747,41.17314129722928,11.568577507618475,3899,0.3150646692100121,0.5948636828882479,0.8377221550200056
base_plus_residual_load_proxy,final,10747,40.937119424921306,11.55123302284951,0,0.3180422443472597,0.594119289103936,0.8401414348190193
similar_day_naive,point,10747,32.452299246301294,16.226149623150647,0,,,
seasonal_naive_168h,point,10747,37.62811156601842,18.814055783009213,0,,,
ridge,point,10747,28.108591284237782,14.05429564211889,0,,,
