policy,fold,delivery_date,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
B0,fold_1,2020-07-11,24,1,2020-07-11,2020-07-11,12.462916666666667,14.567230347598683,7.25456845238095,3.627284226190475,13.197916666666666,-0.7349999999999994,-12.462916666666667,12.462916666666665,6.52954861111111,0,0,0.041666666666666664,1,0,23,7.4875,7.487500000000001,7.487500000000001,0.4166666666666667,10,0,14,19.83099999999999,19.83099999999999,19.830999999999992,0.7916666666666666,19,0,5,49.91600000000003,49.91600000000003,49.91600000000004
B0,fold_1,2020-07-12,24,1,2020-07-12,2020-07-12,39.37375,45.90700572897344,31.546697023809514,15.773348511904757,40.10875,-0.735,-39.37375,39.37375,19.0515625,0,0,0.0,0,0,24,7.752500000000002,7.752500000000003,7.752500000000005,0.041666666666666664,1,0,23,20.332999999999995,20.33299999999999,20.332999999999995,0.20833333333333334,5,0,19,49.91600000000003,49.91600000000003,49.91600000000004
B0,fold_1,2020-07-13,24,1,2020-07-13,2020-07-13,19.15791666666667,21.856490073507533,12.57230119047619,6.286150595238095,19.892916666666665,-0.7349999999999994,-19.15791666666667,19.157916666666672,9.248159722222223,0,0,0.041666666666666664,1,0,23,7.82,7.819999999999999,7.82,0.16666666666666666,4,0,20,20.160999999999987,20.160999999999987,20.16099999999999,0.6666666666666666,16,0,8,52.1915,52.1915,52.191500000000005
B0,fold_1,2020-07-14,24,1,2020-07-14,2020-07-14,1.8200000000000012,2.336277309453369,1.93277380952381,0.966386904761905,2.6754166666666666,-0.8554166666666654,-1.5229166666666691,1.52291666666666,1.5027430555555543,0,0,0.9166666666666666,22,0,2,8.545,8.545000000000002,8.545000000000002,1.0,24,0,0,22.337999999999994,22.337999999999994,22.337999999999997,1.0,24,0,0,57.253000000000064,57.25300000000007,57.25300000000007
B0,fold_1,2020-07-15,24,1,2020-07-15,2020-07-15,4.155416666666667,5.986378983436762,2.864604761904762,1.432302380952381,5.060416666666666,-0.9049999999999989,-3.5912500000000023,3.5912500000000023,3.7362500000000005,0,0,0.6666666666666666,16,0,8,9.020000000000003,9.020000000000003,9.020000000000003,0.9583333333333334,23,0,1,25.359999999999996,25.359999999999992,25.359999999999996,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-16,24,1,2020-07-16,2020-07-16,2.5570833333333334,3.9218607403459216,2.3629142857142855,1.1814571428571428,3.0570833333333334,-0.5,-1.341249999999997,1.3412500000000023,2.8363541666666685,0,0,0.7916666666666666,19,0,5,8.869999999999997,8.869999999999997,8.869999999999997,1.0,24,0,0,25.359999999999996,25.359999999999992,25.359999999999996,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-17,24,1,2020-07-17,2020-07-17,8.223749999999997,9.799669637288797,4.518530952380952,2.259265476190476,6.914583333333333,1.3091666666666641,8.223749999999997,8.223750000000003,4.629687499999998,0,0,0.375,9,15,0,8.979999999999997,8.979999999999997,8.979999999999997,0.7083333333333334,17,7,0,25.701999999999988,25.70199999999999,25.70199999999999,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-18,24,1,2020-07-18,2020-07-18,1.760000000000001,2.045226148864717,2.0035214285714287,1.0017607142857143,1.3383333333333336,0.42166666666666713,1.1233333333333333,1.1233333333333348,1.3827777777777783,0,0,1.0,24,0,0,8.352500000000003,8.352500000000003,8.352500000000006,1.0,24,0,0,25.19999999999999,25.19999999999999,25.19999999999999,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-19,24,1,2020-07-19,2020-07-19,2.325416666666667,2.985143073064784,2.2001892857142855,1.1000946428571428,3.0462500000000006,-0.7208333333333335,-1.487916666666665,1.487916666666667,2.3077430555555556,0,0,0.7916666666666666,19,0,5,8.772499999999999,8.772499999999997,8.7725,1.0,24,0,0,26.073999999999995,26.073999999999998,26.073999999999998,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-20,24,1,2020-07-20,2020-07-20,2.7254166666666673,3.9600178871649896,2.406111904761905,1.2030559523809525,2.381250000000001,0.3441666666666661,2.5179166666666664,2.5179166666666646,2.5109027777777784,0,0,0.75,18,6,0,8.644999999999998,8.645,8.645000000000003,1.0,24,0,0,26.073999999999995,26.073999999999998,26.073999999999998,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-21,24,1,2020-07-21,2020-07-21,2.589166666666664,3.5473382039683385,2.3048619047619043,1.1524309523809522,1.7008333333333334,0.8883333333333309,2.589166666666664,2.5891666666666673,1.7404166666666676,0,0,0.7916666666666666,19,5,0,8.205,8.205,8.205000000000005,1.0,24,0,0,26.073999999999995,26.073999999999998,26.073999999999998,1.0,24,0,0,60.967999999999996,60.968,60.968
B0,fold_1,2020-07-22,24,1,2020-07-22,2020-07-22,2.342916666666667,3.1490567370775224,2.180457142857143,1.0902285714285715,2.861666666666667,-0.5187499999999999,-1.3333333333333337,1.3333333333333286,2.2705555555555543,0,0,0.8333333333333334,20,0,4,8.087499999999999,8.087499999999999,8.087500000000002,1.0,24,0,0,26.073999999999995,26.073999999999998,26.073999999999998,1.0,24,0,0,60.967999999999996,60.968,60.968
