policy,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95,window_start,window_end,calendar_days,evidence_class
A1,408,17,2022-08-15,2022-08-31,49.876699068332044,70.52030538617251,29.403713016161422,14.701856508080715,48.682453283390394,1.1942457849416481,-11.00189468776274,37.01688669705362,39.095107729746296,0,0,0.4877450980392157,199,72,137,71.39361631425614,69.68051547214918,92.65970475002649,0.8088235294117647,330,16,62,155.47232052544317,157.00594274893623,191.7540510983315,0.9264705882352942,378,13,17,275.862078158181,269.38353081652974,359.8184457445143,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
A2,408,17,2022-08-15,2022-08-31,61.40122383717715,78.81957813880379,33.419099771652704,16.709549885826352,63.33179020300284,-1.9305663658256897,-1.1224963044775,51.111394385187936,35.8035990016445,0,0,0.4852941176470588,198,82,128,104.74764210199068,105.0634587677306,130.48374617007664,0.7990196078431373,326,33,49,189.05402156289503,189.22983539775908,225.72196017093972,0.9485294117647058,387,10,11,301.7300218839862,297.01833257926,388.68854992539684,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
A3,408,17,2022-08-15,2022-08-31,52.02244387876617,70.56391787534977,29.53100269437834,14.76550134718917,52.3468560222557,-0.3244121434895275,-6.486153355200318,43.35495619664519,34.621341596762555,0,0,0.49019607843137253,200,76,132,80.47560529635462,79.96762044273135,101.42459086383928,0.8137254901960784,332,21,55,163.0487359406326,166.06257487598813,194.25333967381755,0.9338235294117647,381,11,16,285.3651325124403,277.19888188139225,370.1494220674457,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
A4,408,17,2022-08-15,2022-08-31,54.58456069289934,74.68041186310208,31.63493847252128,15.817469236260642,56.5548817559439,-1.9703210630445631,-4.553993769822678,45.01649697389357,41.01498379354655,0,0,0.5490196078431373,224,72,112,90.87281429556167,93.03479850971837,108.88092989799776,0.7647058823529411,312,36,60,168.03367981131314,168.36484080266496,211.87861427801795,0.9068627450980392,370,11,27,283.46698787936134,268.01480579122847,373.06527048890484,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
A5,408,17,2022-08-15,2022-08-31,51.472021675486815,69.72337877006736,29.295773525562776,14.64788676278139,52.27196800210431,-0.7999463266174993,-6.395465996168207,43.41435236139368,34.92637944684344,0,0,0.5122549019607843,209,74,125,79.11312720152657,79.39003220714824,100.36077681822712,0.8063725490196079,329,24,55,162.13336632956245,165.8482620199851,195.87868138847472,0.928921568627451,379,11,18,279.6971307946941,265.3539835643956,369.99604817201646,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
B0,408,17,2022-08-15,2022-08-31,64.19129901960785,78.53712444087304,34.053930497198884,17.026965248599442,70.1159068627451,-5.92460784313725,-21.373210784313727,52.05821078431372,34.8774387254902,0,0,0.47058823529411764,192,71,145,104.30000000000003,103.13250000000002,110.78749999999991,0.7941176470588235,324,17,67,210.27235294117645,209.25099999999998,228.6149999999999,0.9411764705882353,384,2,22,315.0169117647059,311.05549999999994,337.33725,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
B1,408,17,2022-08-15,2022-08-31,275.25954291591773,297.5945434448815,190.23818703446747,95.11909351723374,275.25954291591773,0.0,-269.44881494689787,269.44881494689787,66.87932157855437,0,0,0.0196078431372549,8,8,392,142.69094575988592,140.01836817776245,181.9924349017735,0.0661764705882353,27,8,373,255.69289781945412,258.81092421010067,293.8911033693533,0.19362745098039216,79,1,328,418.2370097887241,413.1511529580266,470.7503055220124,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
B2,408,17,2022-08-15,2022-08-31,57.617758673520505,79.37774928244346,33.72970535812474,16.86485267906237,60.995459872439326,-3.37770119891882,-16.38913495134681,46.60355703674119,41.93220934884779,0,0,0.43137254901960786,176,86,146,67.94220746569994,66.88090472412347,74.32472168801286,0.7279411764705882,297,34,77,149.29781066964733,147.97428975195533,163.37730292206896,0.8921568627450981,364,13,31,246.48255169298986,242.6535079700758,274.24139301668447,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
B3,408,17,2022-08-15,2022-08-31,75.20073144686383,94.48163663999881,41.6765630474452,20.8382815237226,78.43889325112224,-3.2381618042584055,2.479766089666811,62.81937900700744,42.09992906497087,0,0,0.39950980392156865,163,111,134,110.87639716608264,111.77897320613965,114.41323759875263,0.678921568627451,277,56,75,184.38976828487407,182.1260757092224,196.99321129864597,0.8897058823529411,363,17,28,283.6682594209088,277.77804215757635,324.6907387817007,2022-08-15,2022-08-31,17,descriptive_only_small_effective_sample
