policy,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
A1,10747,448,2020-07-01,2026-04-07,20.70749196318633,36.494797188378634,12.449676327150861,6.2248381635754315,20.504517353092744,0.20297461009358628,1.6648414008610726,15.548046364378294,15.461869830812843,0,0,0.5028380013026891,5404,2687,2656,30.336093296135385,20.86482990769435,92.54776467451501,0.7881269191402251,8470,1145,1132,67.13061430169061,48.0427571198889,191.7540510983315,0.9420303340467107,10124,306,317,134.3285233504371,94.413211078769,372.57400974789743
A2,10747,448,2020-07-01,2026-04-07,25.395715610305803,44.846889816329735,14.771279100673018,7.385639550336509,24.744431975988686,0.6512836343171167,3.683834225555681,21.076795702491868,15.434254262019966,0,0,0.48990415930026987,5265,2771,2711,37.5929155763929,22.53438580019086,117.05608840791587,0.7843119009956266,8429,1212,1106,79.2122902585831,55.6712047400044,211.42412716578758,0.9362612822182935,10062,351,334,146.78290025605355,108.04029197198267,373.47925477284906
A3,10747,448,2020-07-01,2026-04-07,21.438594027839613,38.02502092451868,12.760105868702553,6.380052934351276,20.971963021334986,0.46663100650462974,2.800009980087423,17.063979476301,14.469057226131062,0,0,0.49585930957476504,5329,2753,2665,30.844181375472594,20.259106876618706,88.804719388378,0.7843119009956266,8429,1182,1136,67.94520219882841,49.05671641676969,184.54507296015282,0.9404484972550479,10107,319,321,133.9799233072904,94.76021680696226,364.1133152279251
A4,10747,448,2020-07-01,2026-04-07,24.216800768892256,43.15563239608075,14.407187123831944,7.203593561915972,23.6503918510116,0.5664089178806536,2.3852014749511885,18.883321584019228,17.445452042835154,0,0,0.4875779287242952,5240,2769,2738,34.426747410070654,22.246158303589354,105.22954436803684,0.7831953103191588,8417,1175,1155,77.21151354002902,53.950016632461626,234.49126334829583,0.9380292174560343,10081,335,331,148.69392571735156,106.56270934930305,409.1999479361036
A5,10747,448,2020-07-01,2026-04-07,21.500986440203555,38.19540198811644,12.809299680110334,6.404649840055166,21.010897290782776,0.4900891494207738,2.7023175552582077,17.273121179656066,14.588156541038618,0,0,0.49055550386154273,5272,2788,2687,30.77068744227632,20.331133937108227,90.89310590958125,0.781799571973574,8402,1188,1157,68.11796969884907,48.47645684466549,195.87868138847483,0.9397971526937751,10100,329,318,134.95665856017249,94.54820693022761,371.6695871758552
B0,10747,448,2020-07-01,2026-04-07,32.81010165627617,61.07331770317242,20.020603986162254,10.010301993081127,32.452299246301294,0.35780240997487706,2.175260537824509,27.724523223181937,19.282844480191976,0,0,0.46217549083465154,4967,2894,2886,38.083496673490274,22.625,117.04999999999995,0.751558574485903,8077,1324,1346,93.54281166837255,64.44949999999997,244.38499999999993,0.9074160230762073,9752,503,492,166.60476947054994,136.9025,462.057
B1,10747,448,2020-07-01,2026-04-07,41.743481556831235,81.34440986985622,25.24792934918561,12.623964674592806,41.75983235890547,-0.016350802074239917,-25.99951385652631,37.39949703786969,18.56804576879601,0,0,0.36447380664371454,3917,2044,4786,41.53164224298361,25.62308758760568,140.67092102438875,0.6280822555131664,6750,1151,2846,75.46902836943482,52.73437548281521,245.88705395604677,0.8451660928631246,9083,406,1258,130.86485779642376,97.88195880988283,387.5230624286474
B2,10747,448,2020-07-01,2026-04-07,20.984252545162313,38.249488659841816,12.662319073520665,6.331159536760333,20.996017925221153,-0.011765380058840699,1.2939795446716031,15.955393815304964,15.765399557738752,0,0,0.4758537266213827,5114,2754,2879,27.04450681686576,20.796338151596363,75.26229292130739,0.7724016004466363,8301,1186,1260,62.49230737541949,46.550570250856794,176.65191911668546,0.9295617381594864,9990,376,381,118.86439613409101,88.12384871581087,355.04512576921616
B3,10747,448,2020-07-01,2026-04-07,26.323933197067298,45.47014217557738,15.167693659401653,7.583846829700827,26.306797401828426,0.01713579523886651,2.9382813839230164,21.61846215200784,16.300115511789304,0,0,0.46589745975621105,5007,2807,2933,36.22738533069966,23.017674370599124,121.24097969777847,0.767376942402531,8247,1207,1293,75.74076060303126,53.528434860435624,223.96043019746486,0.9258397692379269,9950,414,383,130.9795011350218,94.89877136544874,390.59762578284597
