policy,fold,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95,window_start,window_end,calendar_days
A1,fold_1,2160,90,2020-07-01,2020-09-28,6.819900081534383,10.7139391922076,4.10385611923026,2.05192805961513,6.711440377563845,0.1084597039705377,-0.284471388695003,5.634080133377617,4.833135627787794,0,0,0.49675925925925923,1073,532,555,9.824772396282885,8.268057318585182,20.353410918560698,0.7731481481481481,1670,228,262,21.652594965803534,18.772257522103665,49.46358144941204,0.9356481481481481,2021,66,73,39.26524416436561,34.97859364833471,86.8150694824761,2020-07-01,2020-09-28,90
A1,fold_2,2159,90,2021-04-01,2021-06-29,9.953359482231182,14.831803465245779,6.246549290927245,3.123274645463622,9.915014668827874,0.038344813403306394,1.238495187615177,7.402120270752935,6.964948262495272,0,0,0.5270958777211672,1138,497,524,14.941718597545291,13.94321358698313,24.345344990320307,0.793886058360352,1714,215,230,34.88562137338292,32.88816522075105,67.58834107681892,0.9314497452524316,2011,72,76,71.93790327960548,64.13481466288763,127.78420430270884,2021-04-01,2021-06-29,90
A1,fold_3,2112,88,2022-07-01,2022-09-28,51.212762782292266,70.0557261622223,30.454607295819592,15.227303647909796,50.586329663872384,0.6264331184198692,4.588528607299196,41.62120354205984,35.48387283237619,0,0,0.4891098484848485,1033,557,522,76.46928490855746,71.22643008424532,112.08595752419649,0.7708333333333334,1628,258,226,162.6043854213884,157.29100641599112,233.2534780059666,0.9422348484848485,1990,64,58,317.06599561501775,294.9471077076421,471.1246370393193,2022-07-01,2022-09-28,90
A1,fold_4,2160,90,2025-05-01,2025-07-29,16.740444529025567,26.035675714065906,10.086960537897482,5.043480268948741,16.71985375254507,0.02059077648049519,1.6312817852173662,9.257862244943029,15.531494840116718,0,0,0.5032407407407408,1087,550,523,23.46452648066488,22.761859360652068,34.394508222518276,0.7976851851851852,1723,221,216,51.765340303706374,50.36468943322953,75.77340773415949,0.9444444444444444,2040,59,61,100.04822617239961,95.37821120759092,143.43826295356504,2025-05-01,2025-07-29,90
A1,fold_5,2156,90,2026-01-08,2026-04-07,19.48163898479388,28.581740222534926,11.75235481475487,5.876177407377435,19.251209532724747,0.2304294520691275,1.2143119433620493,14.404369123595426,14.935923256199475,0,0,0.4976808905380334,1073,551,532,27.993881679214365,29.17540694783513,44.60301981051501,0.8047309833024119,1735,223,198,66.85132335947195,67.8230948403152,105.04267245824242,0.9564007421150278,2062,45,49,147.38136762530092,153.65210215512874,267.59845582794935,2026-01-08,2026-04-07,90
A2,fold_1,2160,90,2020-07-01,2020-09-28,7.042635018486858,10.666090480690121,4.189274806065342,2.094637403032671,6.994848871336825,0.047786147150033854,0.32596076752192954,6.096015127753559,4.503003478244683,0,0,0.49212962962962964,1063,536,561,10.854290567309413,9.912750588087071,25.43255183959868,0.7902777777777777,1707,208,245,22.459499016794243,20.28649726664662,48.751390989621015,0.9425925925925925,2036,50,74,42.30737803070681,36.91086660349195,93.35975816726497,2020-07-01,2020-09-28,90
A2,fold_2,2159,90,2021-04-01,2021-06-29,10.300250370056196,16.078674079167904,6.756803260361205,3.3784016301806026,10.417233062466655,-0.11698269241045976,2.354472232603556,8.188118128743112,6.777635720558288,0,0,0.5275590551181102,1139,471,549,14.934794611157505,12.922967515794163,25.486328445236573,0.8003705419175544,1728,214,217,40.775690188870456,35.75390157474795,81.5942601486152,0.936544696618805,2022,68,69,83.62371203809086,72.4585305593057,156.23976328571496,2021-04-01,2021-06-29,90
A2,fold_3,2112,88,2022-07-01,2022-09-28,66.44563824179751,88.07522223517655,37.897189993933985,18.948594996966992,64.19542650011384,2.2502117416836667,13.210683401531666,58.116386326704216,35.22304969153892,0,0,0.4616477272727273,975,630,507,97.0929931399347,90.84235891973753,164.91468288585546,0.75,1584,295,233,196.27642382195296,188.08997033724683,314.65308349029726,0.9261363636363636,1956,95,61,337.98299631191804,311.48732123855274,574.7072943432348,2022-07-01,2022-09-28,90
A2,fold_4,2160,90,2025-05-01,2025-07-29,19.220087197857442,28.54777995192793,11.407955616069213,5.703977808034606,19.131644413936925,0.08844278392051232,0.7318180745433842,12.892427427038724,15.69648446751558,0,0,0.5087962962962963,1099,523,538,28.293517966573873,28.031595186710298,45.39516108207758,0.7949074074074074,1717,214,229,61.78046824801786,61.5873371560717,91.56560987129495,0.9402777777777778,2031,58,71,108.96835576212554,108.33894004725863,157.94225067689678,2025-05-01,2025-07-29,90
A2,fold_5,2156,90,2026-01-08,2026-04-07,24.874233377098832,35.17316934621324,14.114153653438713,7.0570768267193555,23.85140909074821,1.0228242863506267,2.004218566307917,20.914133516091137,15.40679040903101,0,0,0.4587198515769944,989,611,556,38.1016577872335,34.500692641711396,70.54285200974552,0.7852504638218923,1693,281,182,77.34955096811805,75.38730954431293,122.83751208386506,0.9355287569573284,2017,80,59,165.2859747487388,175.18170105629972,277.8586727292831,2026-01-08,2026-04-07,90
