policy,S_MAE,S_WIS
B0,1.0,1.0
B1,1.051845134839199,0.9856366964174134
B2,0.6578109123747921,0.6389910407326591
B3,0.7841363977682992,0.7399052224715813
A1,0.6722908121370033,0.646015091607363
A2,0.7737135303566072,0.7316680119708595
A3,0.6725142580647439,0.6471900503893376
A4,0.7646642404268887,0.733418681503033
A5,0.6737799644306972,0.6487132071459641
