timestamp,load_forecast_mw,item_id
2020-03-31 22:00:00,49200.75,DE-LU
2020-03-31 23:00:00,47495.5,DE-LU
2020-04-01 00:00:00,46471.5,DE-LU
2020-04-01 01:00:00,46832.5,DE-LU
2020-04-01 02:00:00,48084.75,DE-LU
2020-04-01 03:00:00,51006.0,DE-LU
2020-04-01 04:00:00,57169.75,DE-LU
2020-04-01 05:00:00,61564.5,DE-LU
2020-04-01 06:00:00,63909.5,DE-LU
2020-04-01 07:00:00,64418.75,DE-LU
2020-04-01 08:00:00,65491.0,DE-LU
2020-04-01 09:00:00,66822.25,DE-LU
2020-04-01 10:00:00,66571.0,DE-LU
2020-04-01 11:00:00,65332.0,DE-LU
2020-04-01 12:00:00,63784.25,DE-LU
2020-04-01 13:00:00,62651.75,DE-LU
2020-04-01 14:00:00,61501.5,DE-LU
2020-04-01 15:00:00,61613.75,DE-LU
2020-04-01 16:00:00,62297.75,DE-LU
2020-04-01 17:00:00,63012.25,DE-LU
2020-04-01 18:00:00,62293.25,DE-LU
2020-04-01 19:00:00,59163.5,DE-LU
2020-04-01 20:00:00,56062.5,DE-LU
2020-04-01 21:00:00,52313.0,DE-LU
