candidate,window_start,window_end,mae,mean_pinball,n_obs,coverage_50,coverage_80,coverage_95,n_days,covered_95
v1_reference,2022-08-15,2022-08-31,275.25954291591773,87.94863317157804,408.0,0.0196078431372549,0.0661764705882353,0.19362745098039216,17,79
c1_head_spread,2022-08-15,2022-08-31,275.25954291591773,75.02451109229318,408.0,0.049019607843137254,0.14950980392156862,0.4411764705882353,17,180
c1_price_volatility,2022-08-15,2022-08-31,275.25954291591773,79.87984065615034,408.0,0.022058823529411766,0.09313725490196079,0.32107843137254904,17,131
c2_aci_gamma_0.000001,2022-08-15,2022-08-31,275.25954291591773,87.87893834508141,408.0,0.0196078431372549,0.0661764705882353,0.19362745098039216,17,79
c2_aci_gamma_0.000005,2022-08-15,2022-08-31,275.25954291591773,87.82183670753638,408.0,0.0196078431372549,0.06862745098039216,0.19362745098039216,17,79
c2_aci_gamma_0.00001,2022-08-15,2022-08-31,275.25954291591773,87.69330847447524,408.0,0.0196078431372549,0.06862745098039216,0.19852941176470587,17,81
c2_aci_gamma_0.00002,2022-08-15,2022-08-31,275.25954291591773,87.33053791282094,408.0,0.0196078431372549,0.06862745098039216,0.20588235294117646,17,84
