label,period_hours,target_frequency_hz_per_hour,bin_frequency_hz_per_hour,bin_error,fft_bin_width,power
24h,24,0.041666666666666664,0.041015625,0.0006510416666666644,0.001953125,94634.82952342267
168h,168,0.005952380952380952,0.005859375,9.300595238095205e-05,0.001953125,142453.18708679127
12h,12,0.08333333333333333,0.083984375,0.0006510416666666713,0.001953125,131225.3778870238
