run_00z,lead,field,prerun_attempts,attempts_so_far,run_status,retained_raw_review_sample,owner_o1_extra_allowance,production_attempts_remaining,review_attempt_reserved
2019-03-30,48,v100,1,1,complete,True,1,0,True
2019-06-13,21,dswrf,2,2,complete,True,2,0,True
2019-06-13,21,u10,2,2,complete,True,2,0,True
2019-06-13,21,u100,2,2,complete,True,2,0,True
2019-06-13,21,v10,2,2,complete,True,2,0,True
2019-06-13,21,v100,2,2,complete,True,2,0,True
2019-06-13,24,dswrf,1,1,complete,True,1,0,True
2019-06-13,24,u10,1,1,complete,True,1,0,True
2019-06-13,24,u100,1,1,complete,True,1,0,True
2019-06-13,24,v10,1,1,complete,True,1,0,True
2019-06-13,24,v100,1,1,complete,True,1,0,True
2019-06-13,27,dswrf,1,1,complete,True,1,0,True
2019-06-13,27,u10,1,1,complete,True,1,0,True
2019-06-13,27,u100,1,1,complete,True,1,0,True
2019-06-13,27,v10,1,1,complete,True,1,0,True
2019-06-13,27,v100,1,1,complete,True,1,0,True
2019-06-13,30,dswrf,1,1,complete,True,1,0,True
2019-06-13,30,u10,1,1,complete,True,1,0,True
2019-06-13,30,u100,1,1,complete,True,1,0,True
2019-06-13,30,v10,1,1,complete,True,1,0,True
2019-06-13,30,v100,1,1,complete,True,1,0,True
2019-06-13,33,dswrf,1,1,complete,True,1,0,True
2019-06-13,33,u10,1,1,complete,True,1,0,True
2019-06-13,33,u100,1,1,complete,True,1,0,True
2019-06-13,33,v10,1,1,complete,True,1,0,True
2019-06-13,33,v100,1,1,complete,True,1,0,True
2019-06-13,36,dswrf,1,1,complete,True,1,0,True
2019-06-13,36,u10,1,1,complete,True,1,0,True
2019-06-13,36,u100,1,1,complete,True,1,0,True
2019-06-13,36,v10,1,1,complete,True,1,0,True
2019-06-13,36,v100,1,1,complete,True,1,0,True
2019-06-13,39,dswrf,1,1,complete,True,1,0,True
2019-06-13,39,u10,1,1,complete,True,1,0,True
2019-06-13,39,u100,1,1,complete,True,1,0,True
2019-06-13,39,v10,1,1,complete,True,1,0,True
2019-06-13,39,v100,1,1,complete,True,1,0,True
2019-06-13,42,dswrf,1,1,complete,True,1,0,True
2019-06-13,42,u10,1,1,complete,True,1,0,True
2019-06-13,42,u100,1,1,complete,True,1,0,True
2019-06-13,42,v10,1,1,complete,True,1,0,True
2019-06-13,42,v100,1,1,complete,True,1,0,True
2019-06-13,45,dswrf,1,1,complete,True,1,0,True
2019-06-13,45,u10,1,1,complete,True,1,0,True
2019-06-13,45,u100,1,1,complete,True,1,0,True
2019-06-13,45,v10,1,1,complete,True,1,0,True
2019-06-13,45,v100,1,1,complete,True,1,0,True
2019-06-13,48,dswrf,1,1,complete,True,1,0,True
2019-06-13,48,u10,1,1,complete,True,1,0,True
2019-06-13,48,u100,1,1,complete,True,1,0,True
2019-06-13,48,v10,1,1,complete,True,1,0,True
2019-06-13,48,v100,1,1,complete,True,1,0,True
2019-10-26,21,dswrf,2,2,complete,True,2,0,True
2019-10-26,21,u10,2,2,complete,True,2,0,True
2019-10-26,21,u100,2,2,complete,True,2,0,True
2019-10-26,21,v10,2,2,complete,True,2,0,True
2019-10-26,21,v100,2,2,complete,True,2,0,True
2019-10-26,24,dswrf,1,1,complete,True,1,0,True
2019-10-26,24,u10,1,1,complete,True,1,0,True
2019-10-26,24,u100,1,1,complete,True,1,0,True
2019-10-26,24,v10,1,1,complete,True,1,0,True
2019-10-26,24,v100,1,1,complete,True,1,0,True
2019-10-26,27,dswrf,1,1,complete,True,1,0,True
2019-10-26,27,u10,1,1,complete,True,1,0,True
2019-10-26,27,u100,1,1,complete,True,1,0,True
2019-10-26,27,v10,1,1,complete,True,1,0,True
2019-10-26,27,v100,1,1,complete,True,1,0,True
2019-10-26,30,dswrf,1,1,complete,True,1,0,True
2019-10-26,30,u10,1,1,complete,True,1,0,True
2019-10-26,30,u100,1,1,complete,True,1,0,True
2019-10-26,30,v10,1,1,complete,True,1,0,True
2019-10-26,30,v100,1,1,complete,True,1,0,True
2019-10-26,33,dswrf,1,1,complete,True,1,0,True
2019-10-26,33,u10,1,1,complete,True,1,0,True
2019-10-26,33,u100,1,1,complete,True,1,0,True
2019-10-26,33,v10,1,1,complete,True,1,0,True
2019-10-26,33,v100,1,1,complete,True,1,0,True
2019-10-26,36,dswrf,1,1,complete,True,1,0,True
2019-10-26,36,u10,1,1,complete,True,1,0,True
2019-10-26,36,u100,1,1,complete,True,1,0,True
2019-10-26,36,v10,1,1,complete,True,1,0,True
2019-10-26,36,v100,1,1,complete,True,1,0,True
2019-10-26,39,dswrf,1,1,complete,True,1,0,True
2019-10-26,39,u10,1,1,complete,True,1,0,True
2019-10-26,39,u100,1,1,complete,True,1,0,True
2019-10-26,39,v10,1,1,complete,True,1,0,True
2019-10-26,39,v100,1,1,complete,True,1,0,True
2019-10-26,42,dswrf,1,1,complete,True,1,0,True
2019-10-26,42,u10,1,1,complete,True,1,0,True
2019-10-26,42,u100,1,1,complete,True,1,0,True
2019-10-26,42,v10,1,1,complete,True,1,0,True
2019-10-26,42,v100,1,1,complete,True,1,0,True
2019-10-26,45,dswrf,1,1,complete,True,1,0,True
2019-10-26,45,u10,1,1,complete,True,1,0,True
2019-10-26,45,u100,1,1,complete,True,1,0,True
2019-10-26,45,v10,1,1,complete,True,1,0,True
2019-10-26,45,v100,1,1,complete,True,1,0,True
2019-10-26,48,dswrf,1,1,complete,True,1,0,True
2019-10-26,48,u10,1,1,complete,True,1,0,True
2019-10-26,48,u100,1,1,complete,True,1,0,True
2019-10-26,48,v10,1,1,complete,True,1,0,True
2019-10-26,48,v100,1,1,complete,True,1,0,True
2020-10-24,21,dswrf,1,1,complete,True,1,0,True
2020-10-24,21,u10,1,1,complete,True,1,0,True
2020-10-24,21,u100,1,1,complete,True,1,0,True
2020-10-24,21,v10,1,1,complete,True,1,0,True
2020-10-24,21,v100,1,1,complete,True,1,0,True
2020-10-24,24,dswrf,1,1,complete,True,1,0,True
2020-10-24,24,u10,1,1,complete,True,1,0,True
2020-10-24,24,u100,1,1,complete,True,1,0,True
2020-10-24,24,v10,1,1,complete,True,1,0,True
2020-10-24,24,v100,1,1,complete,True,1,0,True
2020-10-24,27,dswrf,1,1,complete,True,1,0,True
2020-10-24,27,u10,1,1,complete,True,1,0,True
2020-10-24,27,u100,1,1,complete,True,1,0,True
2020-10-24,27,v10,1,1,complete,True,1,0,True
2020-10-24,27,v100,1,1,complete,True,1,0,True
2020-10-24,30,dswrf,1,1,complete,True,1,0,True
2020-10-24,30,u10,1,1,complete,True,1,0,True
2020-10-24,30,u100,1,1,complete,True,1,0,True
2020-10-24,30,v10,1,1,complete,True,1,0,True
2020-10-24,30,v100,1,1,complete,True,1,0,True
2020-10-24,33,dswrf,1,1,complete,True,1,0,True
2020-10-24,33,u10,1,1,complete,True,1,0,True
2020-10-24,33,u100,1,1,complete,True,1,0,True
2020-10-24,33,v10,1,1,complete,True,1,0,True
2020-10-24,33,v100,1,1,complete,True,1,0,True
2020-10-24,36,dswrf,1,1,complete,True,1,0,True
2020-10-24,36,u10,1,1,complete,True,1,0,True
2020-10-24,36,u100,1,1,complete,True,1,0,True
2020-10-24,36,v10,1,1,complete,True,1,0,True
2020-10-24,36,v100,1,1,complete,True,1,0,True
2020-10-24,39,dswrf,1,1,complete,True,1,0,True
2020-10-24,39,u10,1,1,complete,True,1,0,True
2020-10-24,39,u100,1,1,complete,True,1,0,True
2020-10-24,39,v10,1,1,complete,True,1,0,True
2020-10-24,39,v100,1,1,complete,True,1,0,True
2020-10-24,42,dswrf,1,1,complete,True,1,0,True
2020-10-24,42,u10,1,1,complete,True,1,0,True
2020-10-24,42,u100,1,1,complete,True,1,0,True
2020-10-24,42,v10,1,1,complete,True,1,0,True
2020-10-24,42,v100,1,1,complete,True,1,0,True
2020-10-24,45,dswrf,1,1,complete,True,1,0,True
2020-10-24,45,u10,1,1,complete,True,1,0,True
2020-10-24,45,u100,1,1,complete,True,1,0,True
2020-10-24,45,v10,1,1,complete,True,1,0,True
2020-10-24,45,v100,1,1,complete,True,1,0,True
2020-10-24,48,dswrf,1,1,complete,True,1,0,True
2020-10-24,48,u10,1,1,complete,True,1,0,True
2020-10-24,48,u100,1,1,complete,True,1,0,True
2020-10-24,48,v10,1,1,complete,True,1,0,True
2020-10-24,48,v100,1,1,complete,True,1,0,True
2021-01-04,21,dswrf,2,2,incomplete,False,2,2,True
2021-01-04,21,u10,2,2,incomplete,False,2,2,True
2021-01-04,21,u100,2,2,incomplete,False,2,2,True
2021-01-04,21,v10,2,2,incomplete,False,2,2,True
2021-01-04,21,v100,2,2,incomplete,False,2,2,True
2021-01-04,24,dswrf,1,1,incomplete,False,1,2,True
2021-01-04,24,u10,1,1,incomplete,False,1,2,True
2021-01-04,24,u100,1,1,incomplete,False,1,2,True
2021-01-04,24,v10,1,1,incomplete,False,1,2,True
2021-01-04,24,v100,1,1,incomplete,False,1,2,True
2021-01-04,27,dswrf,1,1,incomplete,False,1,2,True
2021-01-04,27,u10,1,1,incomplete,False,1,2,True
2021-01-04,27,u100,1,1,incomplete,False,1,2,True
2021-01-04,27,v10,1,1,incomplete,False,1,2,True
2021-01-04,27,v100,1,1,incomplete,False,1,2,True
2021-01-04,30,dswrf,1,1,incomplete,False,1,2,True
2021-01-04,30,u10,1,1,incomplete,False,1,2,True
2021-01-04,30,u100,1,1,incomplete,False,1,2,True
2021-01-04,30,v10,1,1,incomplete,False,1,2,True
2021-01-04,30,v100,1,1,incomplete,False,1,2,True
2021-01-04,33,dswrf,1,1,incomplete,False,1,2,True
2021-01-04,33,u10,1,1,incomplete,False,1,2,True
2021-01-04,33,u100,1,1,incomplete,False,1,2,True
2021-01-04,33,v10,1,1,incomplete,False,1,2,True
2021-01-04,33,v100,1,1,incomplete,False,1,2,True
2021-01-04,36,dswrf,1,1,incomplete,False,1,2,True
2021-01-04,36,u10,1,1,incomplete,False,1,2,True
2021-01-04,36,u100,1,1,incomplete,False,1,2,True
2021-01-04,36,v10,1,1,incomplete,False,1,2,True
2021-01-04,36,v100,1,1,incomplete,False,1,2,True
2021-02-02,21,dswrf,2,2,complete,True,2,0,True
2021-02-02,21,u10,2,2,complete,True,2,0,True
2021-02-02,21,u100,2,2,complete,True,2,0,True
2021-02-02,21,v10,2,2,complete,True,2,0,True
2021-02-02,21,v100,2,2,complete,True,2,0,True
2021-02-02,24,dswrf,2,2,complete,True,2,0,True
2021-02-02,24,u10,2,2,complete,True,2,0,True
2021-02-02,24,u100,2,2,complete,True,2,0,True
2021-02-02,24,v10,2,2,complete,True,2,0,True
2021-02-02,24,v100,2,2,complete,True,2,0,True
2021-02-02,27,dswrf,2,2,complete,True,2,0,True
2021-02-02,27,u10,2,2,complete,True,2,0,True
2021-02-02,27,u100,2,2,complete,True,2,0,True
2021-02-02,27,v10,2,2,complete,True,2,0,True
2021-02-02,27,v100,2,2,complete,True,2,0,True
